freq,unit,sector,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,INTLORG,ED1,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,IT	205.7 	201.2 	201.2 	201.2 	10.4 	21.2 	58.8 	4.1 	47.9 
A,MIO_EUR,INTLORG,ED1,LT	9.0 	7.8 	6.2 	4.7 	3.4 	2.2 	12.9 	18.4 	18.7 
A,MIO_EUR,INTLORG,ED1,LU	17.0 	18.3 	16.9 	16.9 	19.1 	19.1 	19.1 	19.3 	18.3 
A,MIO_EUR,INTLORG,ED1,LV	11.0 	12.3 	17.4 	6.4 	3.8 	0.4 	4.4 	2.0 	1.3 
A,MIO_EUR,INTLORG,ED1,MT	0.2 	0.1 	0.1 	0.2 	0.3 	2.3 	2.9 	0.4 	0.5 
A,MIO_EUR,INTLORG,ED1,NL	22.7 	9.2 	9.7 	20.6 	16.8 	17.6 	19.0 	9.3 	9.1 
A,MIO_EUR,INTLORG,ED1,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,PL	197.1 	162.2 	184.2 	114.9 	57.6 d	294.2 	458.0 	303.5 	217.0 
A,MIO_EUR,INTLORG,ED1,PT	64.1 	145.0 	108.0 	0.0 	0.0 	0.0 	0.2 	0.4 	0.0 
A,MIO_EUR,INTLORG,ED1,RO	8.0 	4.1 	4.4 	14.4 	0.7 	0.9 	2.3 	5.1 	6.6 
A,MIO_EUR,INTLORG,ED1,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED1,SE	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1,SI	0.8 	1.0 	1.2 	1.3 	1.7 	3.7 	6.5 	5.1 	7.5 
A,MIO_EUR,INTLORG,ED1,SK	: 	32.5 	31.4 	31.7 	4.2 	12.4 	30.1 	41.5 	48.4 
A,MIO_EUR,INTLORG,ED1,TR	0.4 	0.0 	0.0 	0.1 	2.4 	15.2 	15.1 	17.1 	16.8 
A,MIO_EUR,INTLORG,ED1,UK	: 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED1_2,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1_2,BE	7.0 	7.1 	7.4 	5.8 	82.4 	79.7 	76.9 	76.7 	100.8 
