freq,unit,sector,expend,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,PRIV,ADJ,ED3_4,PT	309.8 d	50.7 	2.4 	-99.0 	-217.2 	-273.1 	-219.4 	-373.3 	-313.7 
A,MIO_EUR,PRIV,ADJ,ED3_4,RO	0.0 	0.0 	2.8 	0.1 	0.0 	0.1 	0.0 	0.0 	0.1 
A,MIO_EUR,PRIV,ADJ,ED3_4,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED3_4,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,SI	-2.2 	-2.1 	-2.2 	-2.6 	-2.3 	-2.3 	-2.1 	-2.2 	-1.3 
A,MIO_EUR,PRIV,ADJ,ED3_4,SK	: 	0.0 	0.0 	0.0 	: z	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,TR	-456.3 	-871.8 	-244.6 	-631.7 	-1014.0 	-558.6 	-577.4 	-4.1 	164.1 
A,MIO_EUR,PRIV,ADJ,ED3_4,UK	30.6 	: z	: z	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,PRIV,ADJ,ED45,AT	: z	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: d	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,BE	: d	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED45,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,CH	: 	0.0 	: d	: z	: 	: 	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED45,CY	: z	0.0 	0.0 	0.0 	: 	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,DE	: z	: z	: z	: z	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,DK	: z	: z	: z	: 	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,ES	: d	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED45,FI	: d	: d	: d	: d	: d	: d	: d	: d	: d
