freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC,ED3_4,SK	: 	7.3 	6.2 	6.0 	6.5 	8.1 	7.8 	6.9 	6.1 
A,PC,ED3_4,TR	4.6 	4.2 	4.6 	3.5 d	4.6 	5.4 	4.7 	4.9 	4.6 
A,PC,ED3_4,UK	0.0 	: z	0.0 	3.0 b	0.1 	0.1 	0.5 	0.4 	: 
A,PC,ED5-8,AT	8.5 	7.8 	8.6 	8.1 	7.9 	8.1 	8.6 	10.9 	11.6 
A,PC,ED5-8,BE	14.9 	15.2 	15.3 	15.6 	15.3 	14.7 	14.6 	16.4 	14.8 
A,PC,ED5-8,BG	19.8 	16.6 	14.1 	13.9 	14.5 	10.8 	11.2 	10.8 	11.4 
A,PC,ED5-8,CH	: 	2.4 	2.2 	2.1 	2.1 	2.1 	2.0 	: 	1.9 
A,PC,ED5-8,CY	29.1 	25.9 	24.8 	26.4 	21.6 	17.3 	20.6 	20.1 	19.1 
A,PC,ED5-8,CZ	1.7 	2.0 	2.1 	2.0 	2.1 	2.1 	1.5 	1.4 	1.6 
A,PC,ED5-8,DE	19.8 	19.4 	19.0 	19.0 	18.1 	17.9 	17.5 	18.8 	20.0 
A,PC,ED5-8,DK	: 	32.6 	33.3 	: 	31.1 	33.5 	33.4 	32.9 	34.5 
A,PC,ED5-8,EE	9.6 	9.1 	8.9 	10.8 	11.3 	5.3 	4.4 	4.3 	3.7 
A,PC,ED5-8,EL	0.9 d	1.3 d	1.1 d	0.3 d	: 	1.3 	0.9 	1.0 	: 
A,PC,ED5-8,ES	10.2 	9.5 	11.4 	11.1 	11.3 	11.2 	11.5 	11.1 	11.1 
A,PC,ED5-8,EU27_2020	18.8 d	26.1 d	22.7 d	32.6 d	: 	15.6 	14.9 	17.6 	18.8 d
A,PC,ED5-8,EU28	: 	: 	: 	: 	: 	17.7 	17.0 	19.6 	: 
A,PC,ED5-8,FI	13.3 	13.2 	14.0 	15.0 	15.3 	12.9 	9.0 	9.0 	8.6 
A,PC,ED5-8,FR	8.4 	8.3 d	8.5 	8.7 	8.8 	8.7 	8.5 	8.3 	9.1 
A,PC,ED5-8,HR	: 	: d	: d	: 	0.0 d	2.0 	1.2 	1.3 	4.0 
A,PC,ED5-8,HU	15.3 	12.9 	14.0 	15.3 	11.0 	14.7 	10.7 	16.4 	17.5 
A,PC,ED5-8,IE	17.9 	19.0 	19.3 	38.8 	38.7 	36.8 	34.7 	33.6 	32.8 
A,PC,ED5-8,IS	24.8 	25.1 d	23.4 	21.5 	25.0 	16.4 	15.5 	12.8 	14.8 
A,PC,ED5-8,IT	23.0 	22.6 	23.7 	24.9 	25.6 	26.1 	27.9 	29.0 	28.9 
A,PC,ED5-8,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC,ED5-8,LT	8.0 	7.9 	7.0 	8.1 	10.9 	11.1 	9.5 	9.2 	7.1 
A,PC,ED5-8,LU	10.9 	: 	7.0 	4.8 	5.3 	5.6 	6.0 	5.8 	5.7 
A,PC,ED5-8,LV	14.5 	11.1 	8.4 	6.5 	8.8 	8.1 	5.4 	5.1 	4.8 
A,PC,ED5-8,MT	15.6 	14.3 	15.3 	13.2 	12.0 	12.7 	12.7 	10.8 	12.6 
A,PC,ED5-8,NL	26.3 	27.6 	30.4 	28.1 	34.4 	28.7 	33.3 	29.1 	27.9 
A,PC,ED5-8,NO	39.5 d	36.5 	40.9 	28.3 	27.5 	28.2 	28.0 	28.3 	30.9 
A,PC,ED5-8,PL	12.8 	11.9 	11.6 	10.7 	11.9 	11.3 	10.9 	8.8 	8.6 
A,PC,ED5-8,PT	: 	17.8 	15.7 d	16.2 d	12.7 	12.7 	12.8 	12.4 	12.0 
A,PC,ED5-8,RO	10.1 	11.0 	6.7 	5.7 	5.7 	10.4 	10.3 	8.8 	9.0 
A,PC,ED5-8,RS	: 	: 	: 	0.0 	: 	: d	: 	: 	: 
A,PC,ED5-8,SE	25.4 	25.8 	25.7 	27.1 	26.6 	26.7 	26.7 	27.3 	28.7 
A,PC,ED5-8,SI	15.5 	13.0 	12.5 	11.2 	10.7 	9.5 	13.3 	13.2 	12.7 
A,PC,ED5-8,SK	: 	14.8 	14.0 	8.9 	13.0 	12.3 	11.7 	10.9 	10.2 
A,PC,ED5-8,TR	: d	14.6 	15.2 	16.7 d	15.8 	15.3 	18.0 	17.0 	16.0 
A,PC,ED5-8,UK	26.8 	28.6 	62.9 	64.6 b	64.3 	65.3 	65.1 	66.5 	: 
